ibm_serial,country_code,week_ending_date,work_item,sat,sun,mon,tue,wed,thu,fri
6761C7,631,2022-09-30,71F4F4E0,0.0,0.0,-9.5,-10.0,-10.0,-9.0,-9.0
6761C7,631,2022-09-30,71F4F4E0,0.0,0.0,9.5,9.0,9.5,9.0,9.0
6761C7,631,2022-09-30,71F4F4E0,0.0,0.0,-9.5,-9.0,-10.0,-9.0,-9.0
6761C7,631,2022-09-30,71F4F4E0,0.0,0.0,9.5,9.0,10.0,10.0,10.0
6761C7,631,2022-09-30,71F4F4E0,0.0,0.0,-9.5,-9.0,-9.5,-9.0,-9.0
EDBDD0,631,2022-09-30,71F4F4E0,0.0,0.0,8.0,8.0,8.0,8.0,8.0
DF7951,631,2022-09-30,71F4F4E0,0.0,0.0,9.0,8.5,8.5,8.5,8.5
DF7951,631,2022-09-30,71F4F4E0,0.0,0.0,-8.5,-8.5,-8.5,-8.5,-8.5
DF7951,631,2022-09-30,71F4F4E0,0.0,0.0,8.5,8.5,8.5,8.5,8.5
DF7951,631,2022-09-30,71F4F4E0,6.0,6.0,0.0,0.0,0.0,0.0,0.0
DF7951,631,2022-09-30,71F4F4E0,6.0,6.0,0.0,0.0,0.0,0.0,0.0
34F289,631,2022-09-30,71F4F4E0,0.0,0.0,8.0,8.0,8.0,8.0,8.0
1669AE,631,2022-09-30,17E319B0,0.0,0.0,8.0,8.0,8.0,8.0,8.0
1669AE,631,2022-09-30,17E319B0,0.0,0.0,8.4,8.1,9.5,9.5,8.5
1669AE,631,2022-09-30,17E319B0,0.0,0.0,-8.0,-8.0,-8.0,-8.0,-8.0
C10CC0,631,2022-09-30,71F4F4E0,0.0,0.0,1.5,1.0,1.0,1.0,1.0
C10CC0,631,2022-09-30,71F4F4E0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
C10CC0,631,2022-09-30,71F4F4E0,0.0,0.0,1.5,1.0,1.5,2.0,1.0
C10CC0,631,2022-09-30,71F4F4E0,0.0,0.0,-1.5,-1.0,-1.0,-1.0,-1.0
C10CC0,631,2022-09-30,71F4F4E0,0.0,0.0,8.0,8.0,8.0,8.0,8.0
C10CC0,631,2022-09-30,71F4F4E0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
7DC320,631,2022-09-30,71F4F4E0,0.0,0.0,8.0,8.0,8.0,8.0,8.0
C8143D,631,2022-09-30,71F4F4E0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
C8143D,631,2022-09-30,71F4F4E0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
C8143D,631,2022-09-30,71F4F4E0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
C8143D,631,2022-09-30,71F4F4E0,0.0,0.0,8.0,8.0,8.0,8.0,8.0
C8143D,631,2022-09-30,71F4F4E0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
C8143D,631,2022-09-30,71F4F4E0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0
C8143D,631,2022-09-30,71F4F4E0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
C8143D,631,2022-09-30,71F4F4E0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0
317481,631,2022-09-30,71F4F4E0,0.0,0.0,8.0,8.0,8.0,8.0,8.0
317481,631,2022-09-30,71F4F4E0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
317481,631,2022-09-30,71F4F4E0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
317481,631,2022-09-30,71F4F4E0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
2EC3F7,631,2022-09-30,83D0E206,0.0,0.0,8.0,8.0,8.0,8.0,8.0
A98973,631,2022-09-30,E4588499,0.0,0.0,8.0,8.0,8.0,8.0,8.0
9D9497,631,2022-09-30,71F4F4E0,0.0,0.0,8.0,8.0,8.0,8.0,8.0
4EBA47,631,2022-09-30,E4588499,0.0,0.0,8.0,8.0,8.0,8.0,8.0
3D220D,631,2022-09-30,71F4F4E0,0.0,0.0,8.0,8.0,8.0,8.0,8.0
94667C,631,2022-09-30,71F4F4E0,0.0,0.0,8.0,8.5,8.0,8.0,8.0
94667C,631,2022-09-30,71F4F4E0,0.0,0.0,-8.0,-8.0,-8.0,-8.0,-8.0
94667C,631,2022-09-30,71F4F4E0,0.0,0.0,8.0,8.0,8.0,8.0,8.0
B18AFC,631,2022-09-30,71F4F4E0,0.0,0.0,8.0,8.0,8.0,8.0,8.0
ED743B,631,2022-09-30,71F4F4E0,0.0,0.0,9.0,9.0,9.0,9.0,8.0
4580CE,631,2022-09-30,71F4F4E0,0.0,0.0,10.0,10.0,10.0,8.0,8.0
9C750A,631,2022-09-30,71F4F4E0,0.0,0.0,8.0,8.0,8.0,8.0,8.0
FFD222,631,2022-09-30,71F4F4E0,0.0,0.0,1.0,4.0,1.0,1.0,1.0
